0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/validate.js HTTP/1.1" 200 1561
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/navigationButtonsPartial.js HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/validateDropdown.js HTTP/1.1" 200 3216
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/groups.js HTTP/1.1" 200 2929
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/loader.js HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/captcha.js HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/fileInput.js HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/formProperty.js HTTP/1.1" 200 3925
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/validationMessage.js HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/modalWindow.js HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/dynamicTemplateItem.js HTTP/1.1" 200 3098
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/bpmnProcesses.js HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/ngEnter.js HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/util/userUtil.js HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/autoCompleteTextField.js HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/modalContent.js HTTP/1.1" 200 1159
